CustomerID,recency,frequency,monetary,avg_order_value,unique_products,cluster,segment
12347,2,7,4310.0,23.681318681318682,103,1,Champions
12348,75,4,1797.24,57.97548387096774,22,0,New Customers
12349,19,1,1757.55,24.076027397260273,73,0,New Customers
12350,310,1,334.4,19.670588235294115,17,0,New Customers
12352,36,8,2506.04,29.482823529411764,59,1,Champions
12354,232,1,1079.4,18.610344827586207,58,0,New Customers
12355,214,1,459.4,35.33846153846154,13,0,New Customers
12356,23,3,2811.43,47.65135593220339,53,1,Champions
12358,2,2,1168.06,61.47684210526315,13,0,New Customers
12360,52,3,2662.06,20.63612403100775,105,1,Champions
12361,287,1,189.9,18.990000000000002,10,0,New Customers
12362,3,10,5226.23,19.647481203007516,201,1,Champions
12363,110,2,552.0,24.0,23,0,New Customers
12364,8,4,1313.1,15.448235294117646,70,1,Champions
12365,291,2,641.38,29.153636363636362,22,0,New Customers
12367,4,1,168.9,15.354545454545455,11,0,New Customers
12370,51,4,3545.69,21.231676646706585,143,1,Champions
12371,45,2,1887.96,29.96761904761905,63,0,New Customers
12372,72,3,1298.04,24.962307692307693,34,0,New Customers
12373,311,1,364.6,26.042857142857144,14,0,New Customers
12374,25,1,742.9300000000001,22.513030303030305,33,0,New Customers
12375,11,2,457.5,26.91176470588235,14,0,New Customers
12377,315,2,1628.12,21.144415584415583,72,0,New Customers
12378,130,1,4008.62,18.30420091324201,219,1,Champions
12379,82,2,852.24,21.306,39,0,New Customers
12380,22,4,2724.81,26.200096153846154,77,1,Champions
12381,5,5,1845.31,21.21045977011494,70,1,Champions
12383,185,5,1850.56,18.69252525252525,84,1,Champions
12384,29,2,585.27,21.676666666666666,26,0,New Customers
12386,338,2,401.9,40.19,10,0,New Customers
12388,16,6,2780.66,27.8066,57,1,Champions
12390,80,1,549.84,17.1825,32,0,New Customers
12391,22,1,460.89,4.6089,92,0,New Customers
12393,72,4,1582.6000000000001,24.728125000000002,47,0,New Customers
12394,64,2,1272.48,47.12888888888889,26,0,New Customers
12397,36,2,2409.9,19.126190476190477,110,1,Champions
12398,46,1,1635.6599999999999,19.24305882352941,85,0,New Customers
12399,119,4,1108.65,18.790677966101697,47,0,New Customers
12402,323,1,225.6,20.509090909090908,11,0,New Customers
12405,149,1,1710.39,31.67388888888889,54,0,New Customers
12406,22,2,3415.3,32.52666666666667,92,1,Champions
12407,50,5,1708.1200000000001,22.183376623376624,57,1,Champions
12408,33,5,2888.55,27.51,81,1,Champions
12410,309,2,693.3299999999999,26.666538461538458,26,0,New Customers
12412,75,3,1226.88,20.112786885245903,43,0,New Customers
12413,67,3,758.1,19.95,29,0,New Customers
12414,217,3,562.41,31.244999999999997,16,0,New Customers
